,Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,0.275,1,0,0,1,0,0,1
1,1,0.475,1,0,1,0,1,0,0
2,3,0.325,0,0,1,0,0,0,1
3,1,0.4375,1,0,1,0,0,0,1
4,3,0.4375,0,0,0,1,0,0,1
5,3,0.37351422084130015,0,0,0,1,0,1,0
6,1,0.675,0,0,0,1,0,0,1
7,3,0.025,3,1,0,1,0,0,1
8,3,0.3375,0,2,1,0,0,0,1
9,2,0.175,1,0,1,0,1,0,0
10,3,0.05,1,1,1,0,0,0,1
11,1,0.725,0,0,1,0,0,0,1
12,3,0.25,0,0,0,1,0,0,1
13,3,0.4875,1,5,0,1,0,0,1
14,3,0.175,0,0,1,0,0,0,1
15,2,0.6875,0,0,1,0,0,0,1
16,3,0.025,4,1,0,1,0,1,0
17,2,0.37351422084130015,0,0,0,1,0,0,1
18,3,0.3875,1,0,1,0,0,0,1
19,3,0.37351422084130015,0,0,1,0,1,0,0
20,2,0.4375,0,0,0,1,0,0,1
21,2,0.425,0,0,0,1,0,0,1
22,3,0.1875,0,0,1,0,0,1,0
23,1,0.35,0,0,0,1,0,0,1
24,3,0.1,3,1,1,0,0,0,1
25,3,0.475,1,5,1,0,0,0,1
26,3,0.37351422084130015,0,0,0,1,1,0,0
27,1,0.2375,3,2,0,1,0,0,1
28,3,0.37351422084130015,0,0,1,0,0,1,0
29,3,0.37351422084130015,0,0,0,1,0,0,1
30,1,0.5,0,0,0,1,1,0,0
31,1,0.37351422084130015,1,0,1,0,1,0,0
32,3,0.37351422084130015,0,0,1,0,0,1,0
33,2,0.825,0,0,0,1,0,0,1
34,1,0.35,1,0,0,1,1,0,0
35,1,0.525,1,0,0,1,0,0,1
36,3,0.37351422084130015,0,0,0,1,1,0,0
37,3,0.2625,0,0,0,1,0,0,1
38,3,0.225,2,0,1,0,0,0,1
39,3,0.175,1,0,1,0,1,0,0
40,3,0.5,1,0,1,0,0,0,1
41,2,0.3375,1,0,1,0,0,0,1
42,3,0.37351422084130015,0,0,0,1,1,0,0
43,2,0.0375,1,2,1,0,1,0,0
44,3,0.2375,0,0,1,0,0,1,0
45,3,0.37351422084130015,0,0,0,1,0,0,1
46,3,0.37351422084130015,1,0,0,1,0,1,0
47,3,0.37351422084130015,0,0,1,0,0,1,0
48,3,0.37351422084130015,2,0,0,1,1,0,0
49,3,0.225,1,0,1,0,0,0,1
50,3,0.0875,4,1,0,1,0,0,1
51,3,0.2625,0,0,0,1,0,0,1
52,1,0.6125,1,0,1,0,1,0,0
53,2,0.3625,1,0,1,0,0,0,1
54,1,0.8125,0,1,0,1,1,0,0
55,1,0.37351422084130015,0,0,0,1,0,0,1
56,2,0.2625,0,0,1,0,0,0,1
57,3,0.35625,0,0,0,1,1,0,0
58,2,0.0625,1,2,1,0,0,0,1
59,3,0.1375,5,2,0,1,0,0,1
60,3,0.275,0,0,0,1,1,0,0
61,1,0.475,0,0,1,0,0,0,1
62,1,0.5625,1,0,0,1,0,0,1
63,3,0.05,3,2,0,1,0,0,1
64,1,0.37351422084130015,0,0,0,1,1,0,0
65,3,0.37351422084130015,1,1,0,1,1,0,0
66,2,0.3625,0,0,1,0,0,0,1
67,3,0.2375,0,0,0,1,0,0,1
68,3,0.2125,4,2,1,0,0,0,1
69,3,0.325,2,0,0,1,0,0,1
70,2,0.4,0,0,0,1,0,0,1
71,3,0.2,5,2,1,0,0,0,1
72,2,0.2625,0,0,0,1,0,0,1
73,3,0.325,1,0,0,1,1,0,0
74,3,0.4,0,0,0,1,0,0,1
75,3,0.3125,0,0,0,1,0,0,1
76,3,0.37351422084130015,0,0,0,1,0,0,1
77,3,0.37351422084130015,0,0,0,1,0,0,1
78,2,0.010374999999999999,0,2,0,1,0,0,1
79,3,0.375,0,0,1,0,0,0,1
80,3,0.275,0,0,0,1,0,0,1
81,3,0.3625,0,0,0,1,0,0,1
82,3,0.37351422084130015,0,0,1,0,0,1,0
83,1,0.35,0,0,0,1,0,0,1
84,2,0.2125,0,0,1,0,0,0,1
85,3,0.4125,3,0,1,0,0,0,1
86,3,0.2,1,3,0,1,0,0,1
87,3,0.37351422084130015,0,0,0,1,0,0,1
88,1,0.2875,3,2,1,0,0,0,1
89,3,0.3,0,0,0,1,0,0,1
90,3,0.3625,0,0,0,1,0,0,1
91,3,0.25,0,0,0,1,0,0,1
92,1,0.575,1,0,0,1,0,0,1
93,3,0.325,1,2,0,1,0,0,1
94,3,0.7375,0,0,0,1,0,0,1
95,3,0.37351422084130015,0,0,0,1,0,0,1
96,1,0.8875,0,0,0,1,1,0,0
97,1,0.2875,0,1,0,1,1,0,0
98,2,0.425,0,1,1,0,0,0,1
99,2,0.425,1,0,0,1,0,0,1
100,3,0.35,0,0,1,0,0,0,1
101,3,0.37351422084130015,0,0,0,1,0,0,1
102,1,0.2625,0,1,0,1,0,0,1
103,3,0.4125,0,0,0,1,0,0,1
104,3,0.4625,2,0,0,1,0,0,1
105,3,0.35,0,0,0,1,0,0,1
106,3,0.2625,0,0,1,0,0,0,1
107,3,0.37351422084130015,0,0,0,1,0,0,1
108,3,0.475,0,0,0,1,0,0,1
109,3,0.37351422084130015,1,0,1,0,0,1,0
110,1,0.5875,0,0,0,1,0,0,1
111,3,0.18125,1,0,1,0,1,0,0
112,3,0.275,0,0,0,1,0,0,1
113,3,0.25,1,0,1,0,0,0,1
114,3,0.2125,0,0,1,0,1,0,0
115,3,0.2625,0,0,0,1,0,0,1
116,3,0.88125,0,0,0,1,0,1,0
117,2,0.3625,1,0,0,1,0,0,1
118,1,0.3,0,1,0,1,1,0,0
119,3,0.025,4,2,1,0,0,0,1
120,2,0.2625,2,0,0,1,0,0,1
121,3,0.37351422084130015,0,0,0,1,0,0,1
122,2,0.40625,1,0,0,1,1,0,0
